created_at,stage,Information on Loadshedding
23/3/2023 5:00,2,https://en.wikipedia.org/wiki/South_African_energy_crisis
22/3/2023 16:00,3,
22/3/2023 5:00,2,
20/3/2023 11:00,0,
20/3/2023 5:00,1,
19/3/2023 5:00,0,
18/3/2023 5:00,1,
17/3/2023 12:00,2,
15/3/2023 5:00,3,
12/3/2023 16:00,4,
12/3/2023 5:00,1,
11/3/2023 5:00,3,
8/3/2023 5:00,4,
7/3/2023 16:00,5,
7/3/2023 5:00,4,
6/3/2023 16:00,5,
5/3/2023 16:00,4,
5/3/2023 5:00,2,
4/3/2023 16:00,4,
4/3/2023 5:00,3,
3/3/2023 5:00,4,
2/3/2023 16:00,5,
2/3/2023 5:00,4,
1/3/2023 16:00,5,
28/2/2023 16:00,4,
28/2/2023 5:00,3,
27/2/2023 16:00,5,
26/2/2023 9:00,4,
26/2/2023 5:00,5,
19/2/2023 20:00,6,
19/2/2023 5:00,4,
18/2/2023 20:00,6,
17/2/2023 16:00,4,
17/2/2023 5:00,3,
16/2/2023 16:00,4,
16/2/2023 5:00,3,
15/2/2023 16:00,4,
15/2/2023 5:00,3,
14/2/2023 16:00,4,
14/2/2023 5:00,3,
13/2/2023 16:00,4,
12/2/2023 16:00,3,
12/2/2023 5:00,2,
11/2/2023 5:00,3,
10/2/2023 16:00,4,
10/2/2023 5:00,3,
9/2/2023 16:00,4,
9/2/2023 5:00,3,
8/2/2023 16:00,4,
8/2/2023 5:00,3,
7/2/2023 16:00,4,
7/2/2023 5:00,3,
6/2/2023 16:00,4,
6/2/2023 5:00,3,
5/2/2023 16:00,2,
5/2/2023 5:00,0,
4/2/2023 5:00,3,
3/2/2023 5:00,4,
1/2/2023 5:00,5,
31/1/2023 21:00,6,
31/1/2023 12:00,5,
29/1/2023 16:00,4,
29/1/2023 5:00,2,
28/1/2023 16:00,4,
28/1/2023 5:00,3,
27/1/2023 5:00,4,
26/1/2023 5:00,5,
25/1/2023 16:00,4,
25/1/2023 5:00,3,
24/1/2023 16:00,4,
24/1/2023 5:00,3,
23/1/2023 16:00,4,
22/1/2023 16:00,3,
22/1/2023 5:00,2,
21/1/2023 16:00,4,
21/1/2023 5:00,3,
20/1/2023 5:00,4,
19/1/2023 16:00,5,
19/1/2023 5:00,4,
18/1/2023 16:00,5,
18/1/2023 5:00,4,
17/1/2023 16:00,5,
17/1/2023 5:00,4,
11/1/2023 16:00,6,
11/1/2023 5:00,4,
10/1/2023 21:00,6,
10/1/2023 16:00,4,
10/1/2023 5:00,3,
9/1/2023 16:00,4,
9/1/2023 5:00,3,
8/1/2023 16:00,4,
8/1/2023 5:00,3,
7/1/2023 16:00,4,
7/1/2023 5:00,3,
6/1/2023 16:00,4,
6/1/2023 5:00,3,
5/1/2023 16:00,4,
4/1/2023 16:00,3,
31/12/2022 5:00,2,
30/12/2022 16:00,4,
30/12/2022 5:00,3,
29/12/2022 16:00,4,
29/12/2022 5:00,3,
28/12/2022 16:10,4,
28/12/2022 16:00,3,
28/12/2022 5:00,2,
27/12/2022 16:00,3,
26/12/2022 5:00,1,
25/12/2022 5:00,0,
24/12/2022 5:00,3,
21/12/2022 5:00,4,
20/12/2022 20:00,6,
20/12/2022 5:00,4,
19/12/2022 5:00,5,
16/12/2022 8:44,6,
15/12/2022 5:00,4,
10/12/2022 13:24,5,
10/12/2022 5:00,4,
9/12/2022 5:00,5,
7/12/2022 12:00,6,
7/12/2022 9:00,4,
7/12/2022 5:00,2,
6/12/2022 16:00,3,
6/12/2022 5:00,2,
5/12/2022 5:00,3,
3/12/2022 22:06,4,
2/12/2022 16:00,2,
2/12/2022 5:00,0,
1/12/2022 16:00,2,
1/12/2022 5:00,0,
30/11/2022 16:00,2,
30/11/2022 5:00,0,
29/11/2022 16:00,2,
29/11/2022 5:00,0,
28/11/2022 16:00,2,
28/11/2022 5:00,1,
28/11/2022 0:00,0,
25/11/2022 5:00,2,
24/11/2022 16:00,3,
24/11/2022 5:00,2,
23/11/2022 16:01,4,
23/11/2022 5:00,2,
22/11/2022 16:00,4,
22/11/2022 5:00,2,
20/11/2022 17:00,4,
20/11/2022 8:54,0,
18/11/2022 6:01,4,
18/11/2022 5:00,2,
17/11/2022 16:00,3,
17/11/2022 5:00,2,
16/11/2022 16:00,3,
15/11/2022 5:00,2,
14/11/2022 16:00,3,
8/11/2022 9:00,2,
8/11/2022 5:00,0,
7/11/2022 16:00,2,
6/11/2022 12:09,0,
6/11/2022 5:00,1,
5/11/2022 16:00,2,
5/11/2022 5:00,1,
4/11/2022 16:00,2,
4/11/2022 5:00,1,
3/11/2022 16:00,2,
3/11/2022 5:00,1,
2/11/2022 16:00,2,
2/11/2022 5:00,1,
1/11/2022 16:00,2,
1/11/2022 5:00,0,
31/10/2022 5:00,2,
29/10/2022 0:00,0,
28/10/2022 16:00,3,
28/10/2022 5:00,2,
27/10/2022 16:00,4,
27/10/2022 5:00,3,
26/10/2022 16:00,4,
26/10/2022 5:00,3,
25/10/2022 16:00,4,
25/10/2022 5:00,3,
24/10/2022 16:00,4,
24/10/2022 5:00,3,
23/10/2022 12:00,4,
19/10/2022 16:00,3,
19/10/2022 5:00,0,
19/10/2022 0:00,2,
18/10/2022 6:01,4,
18/10/2022 0:00,0,
17/10/2022 16:00,2,
17/10/2022 0:00,0,
15/10/2022 14:00,2,
15/10/2022 0:00,0,
14/10/2022 16:00,1,
14/10/2022 0:01,0,
13/10/2022 16:00,2,
13/10/2022 0:00,0,
12/10/2022 16:00,2,
12/10/2022 0:00,0,
11/10/2022 16:00,2,
11/10/2022 0:00,0,
10/10/2022 16:00,2,
8/10/2022 5:00,0,
6/10/2022 5:00,3,
4/10/2022 18:00,4,
1/10/2022 5:00,3,
28/9/2022 16:00,4,
28/9/2022 0:00,3,
27/9/2022 16:01,4,
27/9/2022 0:00,3,
26/9/2022 16:00,4,
25/9/2022 5:18,3,
24/9/2022 4:59,4,
20/9/2022 0:13,5,
18/9/2022 4:49,6,
17/9/2022 10:03,5,
13/9/2022 10:03,4,
13/9/2022 5:00,2,
12/9/2022 5:00,3,
10/9/2022 10:16,4,
9/9/2022 14:00,3,
8/9/2022 5:01,2,
7/9/2022 22:01,0,
7/9/2022 4:58,2,
6/9/2022 22:02,0,
6/9/2022 16:02,2,
18/8/2022 23:42,0,
18/8/2022 16:00,2,
18/8/2022 0:02,0,
17/8/2022 16:00,2,
17/8/2022 0:02,0,
16/8/2022 16:00,2,
6/8/2022 21:02,0,
6/8/2022 15:55,2,
6/8/2022 0:04,0,
5/8/2022 5:00,2,
5/8/2022 0:00,0,
4/8/2022 16:04,4,
4/8/2022 5:01,2,
4/8/2022 0:04,0,
3/8/2022 16:04,2,
23/7/2022 0:00,0,
22/7/2022 16:00,1,
22/7/2022 0:02,0,
21/7/2022 16:00,2,
21/7/2022 0:02,0,
20/7/2022 16:00,2,
20/7/2022 0:04,0,
19/7/2022 16:04,2,
19/7/2022 0:01,0,
18/7/2022 16:00,2,
18/7/2022 0:01,0,
17/7/2022 16:01,2,
17/7/2022 0:02,0,
16/7/2022 16:01,2,
16/7/2022 0:01,0,
15/7/2022 14:23,6,
15/7/2022 5:03,3,
15/7/2022 0:01,0,
14/7/2022 16:06,4,
14/7/2022 5:02,3,
14/7/2022 0:01,1,
13/7/2022 5:03,3,
13/7/2022 0:01,2,
12/7/2022 5:01,4,
12/7/2022 0:01,2,
11/7/2022 4:55,4,
11/7/2022 0:00,2,
10/7/2022 16:04,4,
10/7/2022 7:01,3,
10/7/2022 0:17,2,
9/7/2022 7:00,3,
8/7/2022 23:42,2,
8/7/2022 5:00,4,
8/7/2022 0:00,2,
7/7/2022 22:01,4,
7/7/2022 15:46,5,
7/7/2022 5:01,4,
7/7/2022 0:01,2,
6/7/2022 22:00,4,
6/7/2022 15:47,5,
6/7/2022 5:01,4,
5/7/2022 23:59,2,
5/7/2022 22:00,4,
5/7/2022 15:58,5,
5/7/2022 5:00,4,
5/7/2022 0:01,2,
4/7/2022 22:01,4,
4/7/2022 16:00,6,
4/7/2022 5:01,4,
4/7/2022 0:00,2,
3/7/2022 6:59,4,
2/7/2022 22:01,2,
2/7/2022 6:58,4,
1/7/2022 22:11,2,
1/7/2022 0:00,4,
30/6/2022 14:03,6,
30/6/2022 4:47,4,
29/6/2022 23:47,2,
29/6/2022 21:59,4,
29/6/2022 16:02,6,
29/6/2022 4:55,4,
28/6/2022 23:47,2,
28/6/2022 21:43,4,
28/6/2022 16:01,6,
28/6/2022 5:00,4,
28/6/2022 0:04,0,
27/6/2022 5:00,4,
27/6/2022 0:01,0,
26/6/2022 5:08,4,
26/6/2022 0:01,0,
25/6/2022 5:02,4,
25/6/2022 0:02,0,
24/6/2022 11:00,4,
24/6/2022 5:02,2,
24/6/2022 0:01,0,
23/6/2022 5:01,2,
23/6/2022 0:01,0,
22/6/2022 10:06,2,
21/6/2022 22:02,0,
21/6/2022 17:01,2,
20/6/2022 22:02,0,
20/6/2022 17:00,2,
30/5/2022 21:59,0,
30/5/2022 16:59,2,
28/5/2022 22:02,0,
28/5/2022 17:02,1,
27/5/2022 22:09,0,
27/5/2022 16:56,2,
26/5/2022 22:02,0,
26/5/2022 17:12,2,
25/5/2022 22:03,0,
25/5/2022 17:01,2,
24/5/2022 22:04,0,
24/5/2022 17:03,2,
23/5/2022 22:03,0,
23/5/2022 17:04,2,
22/5/2022 21:59,0,
22/5/2022 16:02,3,
22/5/2022 8:01,2,
21/5/2022 22:01,0,
21/5/2022 13:00,4,
21/5/2022 8:02,2,
20/5/2022 21:59,0,
20/5/2022 17:02,2,
19/5/2022 22:04,0,
19/5/2022 16:58,2,
18/5/2022 22:10,0,
18/5/2022 16:59,2,
17/5/2022 22:03,0,
17/5/2022 17:03,3,
16/5/2022 22:02,0,
16/5/2022 16:59,4,
15/5/2022 22:04,0,
15/5/2022 17:03,2,
14/5/2022 22:02,0,
14/5/2022 17:03,2,
13/5/2022 22:02,0,
13/5/2022 16:58,1,
12/5/2022 22:08,0,
12/5/2022 16:58,2,
11/5/2022 21:59,0,
11/5/2022 16:57,2,
10/5/2022 22:03,0,
10/5/2022 17:01,2,
9/5/2022 22:01,0,
9/5/2022 17:01,2,
7/5/2022 12:03,0,
6/5/2022 22:08,1,
3/5/2022 17:03,2,
22/4/2022 22:05,0,
21/4/2022 22:03,2,
20/4/2022 22:04,3,
19/4/2022 7:30,4,
17/4/2022 15:59,2,
15/4/2022 5:02,0,
12/4/2022 17:02,2,
12/4/2022 5:00,0,
11/4/2022 18:12,2,
13/3/2022 20:01,0,
11/3/2022 5:31,2,
10/3/2022 21:01,3,
9/3/2022 8:49,4,
7/3/2022 16:53,2,
8/2/2022 5:00,0,
7/2/2022 21:00,2,
6/2/2022 21:00,0,
4/2/2022 20:59,1,
2/2/2022 11:01,2,
5/12/2021 21:01,0,
4/12/2021 21:01,2,
19/11/2021 18:06,0,
19/11/2021 4:50,1,
18/11/2021 21:00,0,
17/11/2021 14:00,2,
12/11/2021 5:44,0,
11/11/2021 12:10,2,
10/11/2021 5:01,3,
8/11/2021 13:02,4,
6/11/2021 5:02,2,
5/11/2021 14:00,4,
5/11/2021 11:02,2,
3/11/2021 5:03,0,
2/11/2021 16:01,2,
29/10/2021 20:01,0,
29/10/2021 5:01,2,
28/10/2021 21:02,3,
27/10/2021 12:02,4,
26/10/2021 9:01,2,
26/10/2021 5:10,0,
25/10/2021 18:00,2,
25/10/2021 5:02,0,
23/10/2021 21:01,2,
14/10/2021 5:00,0,
8/10/2021 21:00,2,
8/10/2021 5:02,0,
7/10/2021 21:03,2,
22/7/2021 21:01,0,
22/7/2021 16:11,2,
13/6/2021 20:00,0,
13/6/2021 17:10,1,
12/6/2021 20:00,0,
12/6/2021 16:50,1,
11/6/2021 20:01,0,
10/6/2021 22:04,2,
10/6/2021 8:03,3,
9/6/2021 22:01,2,
9/6/2021 14:00,4,
9/6/2021 10:02,2,
8/6/2021 22:01,0,
8/6/2021 17:00,2,
8/6/2021 6:57,0,
7/6/2021 17:02,1,
6/6/2021 22:05,0,
6/6/2021 17:02,1,
5/6/2021 22:01,0,
4/6/2021 17:02,2,
4/6/2021 12:03,0,
2/6/2021 10:00,2,
2/6/2021 5:03,0,
1/6/2021 16:01,2,
1/6/2021 5:11,0,
31/5/2021 16:00,2,
26/5/2021 22:05,0,
26/5/2021 17:09,1,
18/5/2021 22:02,0,
18/5/2021 17:00,1,
18/5/2021 5:42,0,
16/5/2021 17:35,2,
14/4/2021 5:26,0,
13/4/2021 21:01,2,
19/3/2021 12:01,0,
18/3/2021 14:04,2,
18/3/2021 10:15,0,
17/3/2021 21:04,2,
17/3/2021 4:58,1,
10/3/2021 17:00,2,
11/2/2021 5:57,0,
10/2/2021 12:57,3,
10/2/2021 5:02,0,
9/2/2021 21:58,2,
7/2/2021 8:06,0,
5/2/2021 14:21,2,
18/1/2021 23:04,0,
18/1/2021 21:05,1,
18/1/2021 4:53,2,
17/1/2021 22:59,1,
14/1/2021 11:53,2,
8/1/2021 5:01,0,
7/1/2021 22:03,2,
7/1/2021 6:01,0,
6/1/2021 23:01,2,
31/12/2020 5:07,0,
30/12/2020 22:11,2,
30/12/2020 5:07,0,
29/12/2020 22:25,2,
12/12/2020 23:02,0,
12/12/2020 6:02,2,
7/9/2020 22:03,0,
7/9/2020 16:00,2,
7/9/2020 8:00,1,
6/9/2020 20:16,0,
6/9/2020 12:00,1,
6/9/2020 8:00,2,
5/9/2020 22:00,0,
5/9/2020 8:00,2,
4/9/2020 21:12,0,
4/9/2020 8:01,3,
3/9/2020 22:04,0,
3/9/2020 8:00,4,
2/9/2020 22:21,0,
2/9/2020 15:00,4,
2/9/2020 8:00,2,
1/9/2020 22:00,0,
1/9/2020 12:00,2,
20/8/2020 22:00,0,
20/8/2020 9:02,2,
19/8/2020 22:00,0,
19/8/2020 9:00,2,
18/8/2020 21:56,0,
18/8/2020 16:01,2,
14/8/2020 21:31,0,
14/8/2020 17:00,1,
14/8/2020 7:59,2,
13/8/2020 22:02,0,
13/8/2020 7:55,2,
16/7/2020 21:15,0,
16/7/2020 14:00,2,
16/7/2020 9:00,1,
15/7/2020 21:50,0,
15/7/2020 14:01,2,
15/7/2020 9:00,1,
14/7/2020 21:57,0,
14/7/2020 9:03,2,
13/7/2020 22:01,0,
13/7/2020 9:00,2,
12/7/2020 22:00,0,
12/7/2020 20:00,1,
12/7/2020 7:59,2,
11/7/2020 22:34,0,
11/7/2020 9:04,2,
10/7/2020 22:16,0,
10/7/2020 12:16,2,
15/3/2020 12:00,0,
15/3/2020 7:00,1,
14/3/2020 23:00,0,
14/3/2020 12:12,1,
14/3/2020 7:02,2,
13/3/2020 23:00,0,
13/3/2020 14:41,3,
11/3/2020 9:53,4,
10/3/2020 22:59,2,
10/3/2020 14:01,4,
10/3/2020 9:00,2,
10/3/2020 5:00,0,
9/3/2020 8:59,1,
22/2/2020 17:00,0,
20/2/2020 8:58,2,
16/2/2020 21:00,0,
16/2/2020 9:15,2,
15/2/2020 8:58,3,
14/2/2020 21:10,2,
11/2/2020 21:00,0,
11/2/2020 9:00,1,
11/2/2020 6:00,0,
10/2/2020 9:01,1,
9/2/2020 20:53,0,
4/2/2020 8:56,2,
4/2/2020 6:00,0,
3/2/2020 18:02,2,
3/2/2020 16:01,0,
3/2/2020 8:55,2,
3/2/2020 6:36,0,
31/1/2020 9:02,2,
31/1/2020 6:01,0,
30/1/2020 21:00,2,
10/1/2020 22:57,0,
10/1/2020 6:01,1,
8/1/2020 20:57,2,
8/1/2020 6:01,0,
8/1/2020 0:59,2,
5/1/2020 23:00,0,
4/1/2020 21:56,2,
13/12/2019 21:00,0,
13/12/2019 15:59,1,
13/12/2019 9:01,2,
12/12/2019 22:55,1,
10/12/2019 20:58,2,
10/12/2019 20:00,3,
9/12/2019 22:02,4,
9/12/2019 18:06,6,
9/12/2019 10:00,4,
8/12/2019 9:00,2,
7/12/2019 22:51,1,
6/12/2019 23:01,2,
6/12/2019 14:07,4,
6/12/2019 9:02,2,
6/12/2019 7:04,0,
5/12/2019 16:00,2,
8/11/2019 5:00,0,
7/11/2019 22:00,2,
19/10/2019 22:59,0,
19/10/2019 8:58,1,
18/10/2019 23:03,0,
18/10/2019 12:00,2,
18/10/2019 8:47,1,
17/10/2019 23:01,0,
17/10/2019 9:00,2,
16/10/2019 23:00,0,
16/10/2019 8:59,2,
23/3/2019 22:31,0,
23/3/2019 21:25,1,
23/3/2019 9:13,2,
22/3/2019 23:00,1,
22/3/2019 8:59,2,
21/3/2019 23:41,1,
21/3/2019 8:59,4,
20/3/2019 23:01,2,
20/3/2019 8:55,4,
19/3/2019 23:00,2,
19/3/2019 9:00,4,
19/3/2019 8:09,2,
18/3/2019 9:00,4,
17/3/2019 22:55,2,
17/3/2019 7:37,4,
16/3/2019 22:56,2,
16/3/2019 12:23,4,
16/3/2019 10:03,3,
16/3/2019 8:02,2,
15/3/2019 23:02,0,
15/3/2019 8:05,2,
14/3/2019 23:18,0,
14/3/2019 15:00,2,
14/3/2019 11:01,1,
14/2/2019 22:03,0,
14/2/2019 8:00,2,
13/2/2019 21:55,0,
13/2/2019 8:00,3,
12/2/2019 22:28,0,
12/2/2019 8:00,3,
11/2/2019 23:06,0,
11/2/2019 13:03,4,
11/2/2019 9:01,2,
10/2/2019 22:02,0,
10/2/2019 13:02,2,
8/12/2018 21:41,0,
8/12/2018 10:15,1,
7/12/2018 21:39,0,
7/12/2018 9:00,1,
6/12/2018 20:58,0,
6/12/2018 20:27,1,
6/12/2018 9:00,2,
5/12/2018 21:33,0,
5/12/2018 20:57,1,
5/12/2018 9:01,2,
4/12/2018 21:30,0,
4/12/2018 21:01,1,
4/12/2018 9:00,2,
3/12/2018 21:08,0,
3/12/2018 20:17,1,
3/12/2018 9:56,2,
2/12/2018 20:49,0,
2/12/2018 20:25,1,
2/12/2018 8:01,2,
1/12/2018 21:24,0,
1/12/2018 20:55,1,
1/12/2018 16:07,2,
1/12/2018 9:01,1,
30/11/2018 21:01,0,
30/11/2018 9:00,2,
29/11/2018 21:07,0,
29/11/2018 12:06,1,
18/11/2018 20:51,0,
18/11/2018 12:42,1,
16/6/2018 21:05,0,
16/6/2018 17:02,2,
15/6/2018 19:31,0,
15/6/2018 11:32,1,
14/6/2018 20:03,0,
14/6/2018 17:52,1,
14/9/2015 21:25,0,
14/9/2015 19:01,1,
8/8/2015 21:01,0,
8/8/2015 16:58,1,
6/8/2015 21:57,0,
6/8/2015 16:58,2,
6/8/2015 12:01,0,
6/8/2015 6:43,1,
5/8/2015 22:02,0,
5/8/2015 17:10,2,
4/8/2015 21:59,0,
4/8/2015 17:02,2,
3/8/2015 21:57,0,
3/8/2015 17:01,2,
30/7/2015 22:00,0,
30/7/2015 17:17,1,
29/7/2015 22:02,0,
29/7/2015 16:55,1,
26/7/2015 21:18,0,
26/7/2015 8:32,2,
25/7/2015 21:55,0,
25/7/2015 8:21,2,
24/7/2015 22:04,0,
24/7/2015 16:56,2,
24/7/2015 11:55,1,
23/7/2015 22:04,0,
23/7/2015 17:03,2,
22/7/2015 22:01,0,
22/7/2015 17:02,1,
21/7/2015 22:02,0,
21/7/2015 17:02,2,
20/7/2015 22:04,0,
20/7/2015 17:03,1,
19/7/2015 22:01,0,
19/7/2015 8:01,2,
17/7/2015 5:06,0,
16/7/2015 17:02,1,
15/7/2015 22:02,0,
15/7/2015 17:52,2,
15/7/2015 8:31,1,
14/7/2015 22:01,0,
14/7/2015 17:26,1,
10/7/2015 13:47,0,
10/7/2015 8:35,1,
9/7/2015 22:02,0,
9/7/2015 17:01,1,
29/6/2015 22:01,0,
29/6/2015 17:01,1,
28/6/2015 22:00,0,
28/6/2015 8:02,2,
27/6/2015 22:01,0,
27/6/2015 17:02,2,
26/6/2015 22:02,0,
26/6/2015 16:24,2,
25/6/2015 22:00,0,
25/6/2015 16:02,2,
25/6/2015 15:05,1,
24/6/2015 22:01,0,
24/6/2015 16:12,1,
23/6/2015 22:01,0,
23/6/2015 16:15,1,
22/6/2015 22:01,0,
22/6/2015 16:59,2,
22/6/2015 16:01,1,
21/6/2015 21:22,0,
21/6/2015 17:03,1,
20/6/2015 21:03,0,
20/6/2015 18:56,2,
20/6/2015 18:18,3,
20/6/2015 17:34,2,
20/6/2015 17:08,1,
19/6/2015 21:29,0,
19/6/2015 17:28,1,
18/6/2015 22:03,0,
18/6/2015 16:03,1,
17/6/2015 22:02,0,
17/6/2015 17:45,1,
14/6/2015 21:57,0,
14/6/2015 17:02,1,
12/6/2015 22:02,0,
12/6/2015 8:23,2,
12/6/2015 6:19,1,
11/6/2015 21:52,0,
11/6/2015 16:20,2,
11/6/2015 9:40,1,
10/6/2015 21:56,0,
10/6/2015 16:16,2,
10/6/2015 16:11,1,
9/6/2015 21:20,0,
9/6/2015 16:59,1,
8/6/2015 21:38,0,
8/6/2015 17:58,2,
8/6/2015 17:01,1,
7/6/2015 21:34,0,
7/6/2015 17:01,1,
27/5/2015 20:50,0,
27/5/2015 17:00,1,
26/5/2015 22:03,0,
26/5/2015 17:01,1,
25/5/2015 21:47,0,
25/5/2015 17:44,1,
24/5/2015 20:19,0,
24/5/2015 7:00,1,
23/5/2015 21:50,0,
23/5/2015 7:03,2,
22/5/2015 21:53,0,
22/5/2015 12:01,2,
22/5/2015 6:32,1,
21/5/2015 22:01,0,
21/5/2015 14:11,2,
21/5/2015 8:01,1,
20/5/2015 22:00,0,
20/5/2015 17:01,2,
20/5/2015 16:01,1,
19/5/2015 23:31,0,
19/5/2015 23:19,1,
19/5/2015 22:00,0,
19/5/2015 17:04,2,
19/5/2015 16:03,1,
18/5/2015 22:02,0,
18/5/2015 17:03,2,
18/5/2015 16:08,1,
17/5/2015 21:47,0,
17/5/2015 12:03,1,
17/5/2015 7:04,2,
16/5/2015 21:40,0,
16/5/2015 8:19,1,
15/5/2015 22:03,0,
15/5/2015 17:02,1,
14/5/2015 22:01,0,
14/5/2015 17:06,2,
14/5/2015 16:07,1,
13/5/2015 21:47,0,
13/5/2015 16:18,1,
13/5/2015 6:27,0,
12/5/2015 16:01,2,
12/5/2015 6:38,0,
11/5/2015 17:31,2,
11/5/2015 16:39,1,
10/5/2015 21:53,0,
10/5/2015 9:59,1,
10/5/2015 9:58,0,
10/5/2015 7:02,1,
10/5/2015 5:46,0,
9/5/2015 22:03,1,
9/5/2015 22:02,0,
9/5/2015 21:10,1,
9/5/2015 12:01,2,
9/5/2015 9:16,1,
8/5/2015 20:52,0,
8/5/2015 10:10,1,
7/5/2015 21:35,0,
7/5/2015 16:59,2,
7/5/2015 8:39,1,
6/5/2015 21:44,0,
6/5/2015 18:06,2,
6/5/2015 16:18,1,
5/5/2015 21:21,0,
5/5/2015 17:07,1,
4/5/2015 21:27,0,
4/5/2015 17:02,1,
3/5/2015 19:52,0,
3/5/2015 16:59,1,
29/4/2015 20:37,0,
29/4/2015 18:02,1,
23/4/2015 21:41,0,
23/4/2015 20:12,1,
23/4/2015 18:00,2,
23/4/2015 17:00,1,
22/4/2015 21:46,0,
22/4/2015 16:59,1,
21/4/2015 21:49,0,
21/4/2015 17:03,1,
20/4/2015 21:50,0,
20/4/2015 17:04,1,
19/4/2015 21:11,0,
19/4/2015 8:07,1,
18/4/2015 21:46,0,
18/4/2015 9:26,2,
17/4/2015 22:39,0,
17/4/2015 10:01,2,
17/4/2015 5:58,1,
16/4/2015 22:03,0,
16/4/2015 19:06,2,
16/4/2015 5:59,1,
15/4/2015 21:18,0,
15/4/2015 16:05,3,
15/4/2015 7:43,2,
14/4/2015 22:02,0,
14/4/2015 20:57,2,
14/4/2015 18:01,3,
14/4/2015 6:35,2,
13/4/2015 22:14,0,
13/4/2015 16:00,2,
12/4/2015 22:01,0,
12/4/2015 10:03,2,
7/4/2015 21:01,0,
7/4/2015 16:35,1,
26/3/2015 22:00,0,
26/3/2015 12:00,2,
25/3/2015 22:01,0,
25/3/2015 16:09,2,
25/3/2015 16:02,2,
21/3/2015 21:01,0,
21/3/2015 18:41,1,
21/3/2015 9:02,1,
26/2/2015 22:00,0,
26/2/2015 10:11,2,
22/2/2015 20:54,0,
22/2/2015 16:24,1,
21/2/2015 22:01,0,
21/2/2015 8:02,1,
15/2/2015 21:59,0,
15/2/2015 12:00,1,
15/2/2015 8:00,2,
14/2/2015 22:07,0,
14/2/2015 8:01,2,
11/2/2015 22:48,0,
11/2/2015 18:14,2,
11/2/2015 14:13,1,
10/2/2015 22:01,0,
10/2/2015 18:00,1,
9/2/2015 22:03,0,
9/2/2015 16:01,1,
8/2/2015 22:10,0,
8/2/2015 8:01,2,
7/2/2015 22:03,0,
7/2/2015 8:06,2,
6/2/2015 22:04,0,
6/2/2015 8:05,2,
6/2/2015 7:00,0,
5/2/2015 16:12,3,
5/2/2015 8:00,2,
5/2/2015 7:00,0,
4/2/2015 14:45,2,