File Name,Title,Discipline,Type,Document Sub Type
201810 - Systems Alignment Report - FINAL.xlsx,201809 - SAP Costrac Alignment Report - End Sep.18,Project Control,Project Control,Report
Baseline BIP - Traffic HIRA - rev 1.xlsx,Baseline TMM Risk Assessment,Health & Safety,Health and Safety,Risk Assessment
Belfast Implementation Project - Monthly Summary Report 2016 11.xlsx,Belfast Implementation Project - Monthly Summary Report 2016 11,Project Management,Communication,Report
Belfast Project - Current WBS Working File 20180527.xlsx,Work Breakdown Structure,Project Management,Project Control,Work Breakdown Structure
BIP - BASELINE RISK ASSESSMENT - DATE 05 12 2016 - Updated 21 08 2017 - DM.xlsx,Baseline Risk Assessment - Hazard Identification DATA BASE,Health & Safety,Health and Safety,Risk Assessment
Cert 000 - Building Works 3195-BF - Application Template.xlsx,Cert number_Building Works 3195 BF Monthly Progress Claim BOQ (Date) Template,Project Control,Project Control,Work Breakdown Structure
Daily weather report 18 January 2018.xlsx,BIP Daily Weather till January 2018,Infrastructure,Communication,Memo
ECC-000004-2318-AAA00-HRM-RPT-0001-REV04 - MMD - Local Spend Report 2019-01.xlsx,MMD - Local Spend Report,HR/ER/IR,Employee Relations,Report
ECC-000004-2318-AAA00-HRM-RPT-0003-REV04 - MMD - Local Labour Report 2019-01.xlsx,MMD - Local Labour Report 2019-01,HR/ER/IR,Employee Relations,Report
ECC-000004-2318-PCSP00-CON-RPT-0001-REV0A - MMD Project Specific Local Spend Report 2018-09.xlsx,MMD Project Specific Local Spend Report 2018-09,Project Management,Engineering Document,Report
ECC-000004-2318-PCSP00-CON-RPT-0002-REV0A - MMD Project Specific Local Spend Report 2018-10.xlsx,MMD Project Specific Local Spend Report 2018-10,Project Management,Engineering Document,Report
ECC-000004-2318-PCSP00-CON-RPT-0003-REV00 - MMD Project Specific Local Spend Report 2018-11.xlsx,MMD Project Specific Local Spend Report 2018-11,Project Management,Engineering Document,Report
ECC-000004-2318-PRSP00-ENG-RPT-0001-REV0Q - 2018-11-02.xlsx,ROM Sizing Planning Dashboard,Project Management,Engineering Document,Report
exxaro - monthly report April 2019.xlsx,Local spend for April 2019,Civil,Communication,Report
exxaro - monthly report December 2018.xlsx,Local Spend for December 2018,Civil,Communication,Report
exxaro - monthly report Feburary 2019.xlsx,Local spend for February 2019,Civil,Communication,Report
exxaro - monthly report January 2019.xlsx,Local Sspend for January 2019,Civil,Communication,Report
exxaro - monthly report June 2019.xlsx,Local spend for June 2019,Civil,Communication,Report
exxaro - monthly report March 2019.xlsx,Local spend for March 2019,Civil,Communication,Report
exxaro - monthly report May 2019.xlsx,Local spend for May 2019,Civil,Communication,Report
exxaro - monthly report November 2018.xlsx,Local Spend November 2018,Civil,Communication,Report
exxaro - monthly report october 2018.xlsx,Local Spend for October 2018,Project Management,Communication,Report
GroundTruth Hours - February_2017.xlsx,Safety Hours_February 2017,Environmental,Project Control,Schedule
GroundTruth Hours -April_2017.xlsx,Safety Hours_April_2017,Environmental,Project Control,Schedule
GroundTruth Hours -July_2017.xlsx,Safety Hours_July 2017,Environmental,Project Control,Report
GroundTruth Hours -March_2017.xlsx,Safety Hours 2017,Environmental,Project Control,Schedule
GroundTruth Hours -May_2017.xlsx,Safety Hours_May 2017,Environmental,Project Control,Schedule
GroundTruth Hours -October_2017.xlsx,Safety Hours_October 2017,Environmental,Project Control,Report
GTE222 - BOQ Spreadsheet 15.02.2019.xlsm,GTE222 - BOQ Spreadsheet_R00,Civil,Engineering Document,Bill of Quantities
Monthly Enviro Volume Readings - 2019 Nov.xlsx,Monthly Enviro Volume Readings - 2019 Nov,Environmental,Health and Safety,Report
Monthly Enviro Volume Readings - 2019 OCT.xlsx,Monthly Enviro Volume Readings - 2019 OCT,Health & Safety,Health and Safety,Report
Monthly Enviro Volume Readings - 2019 SEP.xlsx,Monthly Enviro Volume Readings - 2019 SEP,Environmental,Health and Safety,Report
Monthly Enviro Volume Readings - 2020 January.xlsx,Monthly Enviro Volume Readings - 2020 January,Environmental,Health and Safety,Report
Outstanding information that may have potential impact on the contractual programme.xlsx,Outstanding Info with potential impact on Contractual Programme,Infrastructure,Commercial Document,Letter
Project Controls - Dashboard 2015 08 v02.xlsx,Project Controls - Dashboard 2015 08 v02,Project Management,Communication,Report
Project Controls - Dashboard 2015 09.xlsx,Project Controls - Dashboard 2015 09,Project Management,Communication,Report
Project Controls - Dashboard 2015 10.xlsx,Project Controls - Dashboard 2015 10,Project Management,Communication,Report
Project Controls - Dashboard 2015 11.xlsx,Project Controls - Dashboard 2015 11,Project Management,Communication,Report
Project Controls - Dashboard 2015 12.xlsx,Project Controls - Dashboard 2015 12,Project Management,Communication,Report
Project Controls - Dashboard 2016 01.xlsx,Project Controls - Dashboard 2016 01,Project Management,Communication,Report
Project Controls - Dashboard 2016 02.xlsx,Project Controls - Dashboard 2016 02,Project Management,Communication,Report
Project Controls - Dashboard 2016 03.xlsx,Project Controls - Dashboard 2016 03,Project Management,Communication,Report
Project Controls - Dashboard 2016 04.xlsx,Project Controls - Dashboard 2016 04,Project Management,Communication,Report
Project Controls - Dashboard 2016 05.xlsx,Project Controls - Dashboard 2016 05,Project Management,Communication,Report
Project Controls - Dashboard 2016 06.xlsx,Project Controls - Dashboard 2016 06,Project Management,Communication,Report
Project Controls - Dashboard 2016 07.xlsx,Project Controls - Dashboard 2016 07,Project Management,Communication,Report
Project Controls - Dashboard 2016 08.xlsx,Project Controls - Dashboard 2016 08,Project Management,Communication,Report
Project Controls - Dashboard 2016 09.xlsx,Project Controls - Dashboard 2016 09,Project Management,Communication,Report
PTE-19078 - Selling BOQ - Rev 1 - ID196655 (ID 196655).xls,Construction Method Statements - Bill of Quantities,Electrical,Engineering Document,Bill of Quantities